"受訪者編號","訪問年","訪問月","性別","出生民國年","出生月","現居地","住宅種類","上網_高中","上網_大學","學校種類","課程難易度","學校規定與作息","到朋友家過夜","每天幾點鐘要回家","穿著和儀容","生活作息","上網的時間","交男／女朋友","金錢使用","工作選擇","父親目前的健康","向父親說心事","母親目前的健康","向母親說心事","中低收入戶生活補助","重大傷病、傷病醫療補助","生活過得快樂嗎","生活過得好不好","網癮_1","網癮_2","網癮_3","網癮_4","網癮_5","教育排名","出生西元年","年齡"
5010124,2022,3,1,87,2,261,7,-10,-10,12,-10,-10,2,3,1,1,1,1,1,3,2,2,2,2,0,0,6,4,2,1,1,2,3,-10,1998,24
5010173,2022,4,1,90,12,704,-9,-10,7,13,-10,-10,2,2,2,2,2,2,2,2,3,5,3,3,-8,-8,4,4,-8,4,5,5,5,-10,2001,20
5011052,2022,4,1,88,7,261,4,-10,-10,8,-10,-10,3,3,2,3,3,2,3,3,2,3,2,3,0,0,6,5,2,3,2,2,1,-10,1999,22
5011053,2022,4,2,90,12,261,4,-10,5,13,-10,-10,2,2,2,3,3,2,3,2,3,1,3,2,0,0,7,7,3,3,2,2,2,-10,2001,20
5011291,2022,1,2,88,4,261,4,-10,-10,13,-10,-10,1,3,3,3,2,3,2,2,3,5,3,4,0,0,3,3,3,2,4,5,2,-10,1999,22
5011292,2022,4,1,92,12,261,4,5,-10,7,2,2,4,2,2,3,3,2,1,3,4,5,1,4,0,0,5,5,2,2,3,3,3,1,2003,18
5011341,2022,4,2,94,2,261,4,3,-10,5,2,1,4,3,1,3,3,4,2,3,1,2,1,5,0,0,5,5,4,2,3,3,1,2,2005,17
5011501,2022,4,2,91,11,116,4,-10,4,13,-10,-10,3,2,1,2,2,1,1,2,3,5,3,4,0,0,3,4,2,3,3,3,3,-10,2002,19
5011561,2022,4,2,93,10,260,4,6,-10,8,1,2,4,4,2,3,1,2,1,1,2,5,2,2,0,0,5,5,3,3,4,4,3,4,2004,17
5020262,2022,4,1,88,10,333,2,-10,8,13,-10,-10,1,1,1,2,2,2,2,2,3,3,3,3,0,0,6,5,4,4,3,5,1,-10,1999,22
5021041,2022,2,2,88,4,413,8,-10,5,12,-10,-10,2,1,1,2,1,2,2,2,4,5,4,5,0,0,4,2,3,3,2,2,4,-10,1999,22
5021042,2022,4,1,89,3,261,4,-10,-10,4,-10,-10,2,1,1,2,1,1,2,2,3,4,3,3,0,0,5,3,2,2,2,2,2,-10,2000,22
5021043,2022,4,1,92,1,251,2,-10,8,13,-10,-10,1,1,1,1,1,1,2,1,3,3,3,3,0,0,5,4,2,3,4,3,3,-10,2003,19
5021151,2022,1,1,90,6,912,8,-10,8,12,-10,-10,3,3,2,3,3,2,2,-6,2,4,2,2,-6,-6,5,6,3,3,2,4,3,-10,2001,20
5021152,2022,1,1,92,5,805,8,-10,4,12,-10,-10,-6,-6,-6,-6,-6,-6,-6,-6,1,5,1,-6,-6,-6,7,7,3,3,3,3,3,-10,2003,18
5021171,2022,1,1,89,12,112,-9,-10,5,12,-10,-10,2,2,2,3,3,1,2,2,2,-6,3,4,-6,-6,5,3,3,5,3,2,3,-10,2000,21
5021172,2022,4,1,91,9,261,2,-10,-10,8,-10,-10,2,2,2,1,1,1,1,1,4,5,3,3,0,0,5,4,3,2,4,3,3,-10,2002,19
5021173,2022,4,2,91,9,261,2,-10,6,12,-10,-10,2,2,1,2,1,2,2,2,3,4,3,3,-6,-6,4,4,4,3,3,3,3,-10,2002,19
