"受訪者編號","訪問年","訪問月","性別","出生民國年","出生月","現居地","住宅種類","上網_高中","上網_大學","學校種類","教育排名_2018_2020","課程難易度","學校規定與作息","到朋友家過夜","每天幾點鐘要回家","穿著和儀容","生活作息","上網的時間","交男／女朋友","金錢使用","工作選擇","父親目前的健康","向父親說心事","母親目前的健康","向母親說心事","中低收入戶生活補助","重大傷病、傷病醫療補助","生活過得快樂嗎","生活過得好不好","網癮_1","網癮_2","網癮_3","網癮_4","網癮_5","高等教育排名_2022","大學教育排名_2022"
4041412,109,1,1,87,5,116,7,0,5,13,0,0,0,1,2,3,3,3,2,3,2,2,5,2,5,0,0,6,7,2,5,2,5,3,NA,NA
4041413,109,1,2,90,9,950,4,3,0,5,2,2,1,2,1,1,2,1,1,1,2,2,5,2,4,0,0,5,7,1,1,1,1,1,NA,NA
4082471,109,1,2,88,3,412,8,0,0,6,0,0,0,3,3,3,3,3,3,3,2,3,4,2,3,1,1,7,7,2,2,2,2,2,NA,NA
4142441,109,2,1,89,11,432,4,8,0,8,2,2,2,3,3,2,3,2,1,2,3,2,4,2,3,0,0,6,6,2,2,2,2,3,NA,NA
4143261,109,2,2,91,12,414,7,6,0,6,2,3,1,3,3,3,3,3,3,3,3,3,4,3,4,0,0,7,7,3,3,2,3,3,NA,NA
4202211,109,1,2,92,4,429,4,3,0,8,2,2,1,4,3,2,2,2,1,2,3,2,5,2,5,0,0,5,4,2,2,2,2,2,NA,NA
4202281,109,2,1,92,5,433,4,0,0,8,0,0,0,3,4,3,3,3,2,4,3,1,3,1,5,0,0,4,4,4,4,4,4,3,NA,NA
4202441,109,1,1,86,3,420,97,0,0,13,0,0,0,3,3,4,3,3,4,4,4,2,5,2,4,0,0,5,5,4,4,3,3,1,NA,NA
4202442,109,1,2,89,1,420,97,0,98,12,0,0,0,3,3,3,3,3,3,3,3,3,5,2,3,0,0,4,3,2,4,1,3,2,NA,NA
4273312,109,1,1,85,2,427,2,0,0,8,0,0,0,2,1,1,3,1,2,1,1,3,4,3,4,2,2,5,4,1,1,1,1,1,NA,NA
4273313,109,3,2,92,7,427,8,6,0,6,4,1,2,3,3,2,4,3,1,2,1,3,5,3,4,0,0,4,7,1,3,2,2,1,NA,NA
5010124,109,2,1,87,2,231,7,0,7,12,0,0,0,1,1,1,1,1,1,3,1,1,4,1,4,0,0,7,7,3,3,3,2,4,NA,NA
5010223,109,1,2,85,4,971,96,0,0,12,0,0,0,2,3,2,3,3,3,3,2,3,5,3,2,0,0,4,4,2,2,2,2,2,NA,NA
5011051,109,1,2,86,8,261,4,0,0,8,0,0,0,2,3,3,3,3,3,3,3,3,4,3,3,0,0,6,6,2,1,2,2,1,NA,NA
5011052,109,1,1,88,7,261,4,0,0,8,0,0,0,3,3,3,3,3,3,3,2,2,3,2,3,0,0,7,5,2,3,2,2,2,NA,NA
5011053,109,1,2,90,12,261,4,4,0,8,3,2,1,4,4,3,3,3,1,3,3,3,1,3,1,0,0,7,7,3,2,4,5,1,NA,NA
