respondent_id,survey_year,survey_month,gender,birth_year_tw,birth_month,residence,housing_type,school_type,course_difficulty,school_rules_schedule,sleepover_friends,curfew_time,dress_appearance,daily_routine,internet_time,relationship_status,money_usage,job_choice,father_health,talk_to_father,mother_health,talk_to_mother,life_happiness,life_quality,internet_addiction_1,internet_addiction_2,internet_addiction_3,internet_addiction_4,internet_addiction_5,edu_rank_combined,internet_use_combined_ten,internet_use_combined
1061151,2018,2,2,87,6,427,4,5,NA,NA,4,3,2,2,2,2,3,2,3,3,3,3,6,5,NA,NA,NA,NA,NA,NA,NA,NA
1061152,2018,2,1,88,11,427,4,6,2,1,4,4,3,3,3,3,2,NA,2,4,2,4,5,6,NA,NA,NA,NA,NA,1,4,2
1061291,2018,2,1,88,1,427,4,13,NA,NA,2,3,3,3,3,3,2,3,1,4,2,3,7,7,NA,NA,NA,NA,NA,NA,3,2
1061491,2018,2,1,86,9,893,4,13,NA,NA,1,1,2,3,1,1,2,2,1,2,1,2,7,7,NA,NA,NA,NA,NA,NA,8,4
1070093,2018,2,2,85,3,324,4,12,NA,NA,1,2,2,3,1,2,2,1,3,5,3,3,5,5,NA,NA,NA,NA,NA,NA,6,3
1070222,2018,1,1,85,8,324,7,12,NA,NA,1,1,1,1,1,1,1,1,4,5,3,3,6,6,NA,NA,NA,NA,NA,NA,5,3
1071201,2018,2,2,88,8,427,2,12,NA,NA,3,3,2,3,3,3,3,3,2,5,4,4,6,7,NA,NA,NA,NA,NA,NA,7,4
1071202,2018,2,1,90,3,427,2,5,2,1,3,3,1,2,3,NA,3,2,3,5,4,5,6,7,NA,NA,NA,NA,NA,2,3,2
1071211,2018,2,1,90,4,427,4,6,3,2,3,2,1,3,3,3,2,4,2,3,2,3,5,7,NA,NA,NA,NA,NA,3,4,2
1071332,2018,4,1,86,2,427,8,12,NA,NA,NA,1,2,3,3,1,2,3,6,NA,3,5,6,7,NA,NA,NA,NA,NA,NA,5,3
1071361,2018,2,1,89,1,427,2,5,2,3,4,3,3,3,2,3,3,3,2,4,2,3,4,5,NA,NA,NA,NA,NA,4,4,2
1071362,2018,2,2,90,11,427,2,5,2,1,4,3,2,3,3,4,3,3,1,3,1,2,6,7,NA,NA,NA,NA,NA,3,4,2
1071383,2018,2,1,84,8,427,4,6,NA,NA,3,3,1,3,2,1,3,2,3,3,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA
1071461,2018,2,1,86,10,427,8,12,NA,NA,3,2,1,3,3,1,3,2,2,5,2,4,5,4,NA,NA,NA,NA,NA,NA,5,3
1112381,2018,1,2,88,9,111,7,9,1,1,3,3,2,2,2,2,2,2,3,5,2,4,6,5,NA,NA,NA,NA,NA,3,7,4
1130111,2018,2,1,84,11,717,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,2,5,5,NA,NA,NA,NA,NA,NA,10,5
1162501,2018,4,2,87,11,116,7,12,NA,NA,4,4,3,3,3,3,3,3,3,3,3,2,4,5,NA,NA,NA,NA,NA,NA,7,4
